Date,Chuuk Lagoon,Fananu,Kapingamarangi,Kosrae,Lukunor,Nukuoro,Pingelap,Pohnpei,Ulithi,Woleai,Yap
11/25/2025,None,No Data,D1,None,None,None,No Data,None,No Data,None,None
11/18/2025,None,No Data,D2,None,None,None,No Data,None,No Data,None,None
11/11/2025,None,No Data,D2,None,None,None,No Data,None,No Data,None,No Data
11/4/2025,None,No Data,D2,None,None,None,No Data,None,No Data,None,None
10/28/2025,None,No Data,D2,None,None,None,None,None,No Data,None,None
10/21/2025,None,No Data,D2,None,None,None,None,None,No Data,None,None
10/14/2025,None,No Data,D2,None,None,None,None,None,No Data,None,None
10/7/2025,None,No Data,D2,None,None,None,None,None,No Data,None,None
9/30/2025,None,No Data,D1,None,None,None,No Data,None,No Data,None,None
9/23/2025,None,No Data,D1,None,None,None,No Data,None,No Data,None,None
9/16/2025,None,No Data,D0,None,None,None,None,None,No Data,None,None
9/9/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
9/2/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
8/26/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
8/19/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
8/12/2025,None,No Data,None,None,None,None,None,None,No Data,None,None
8/5/2025,None,No Data,None,None,None,None,No Data,None,No Data,None,None
7/29/2025,None,No Data,None,None,No Data,None,None,None,No Data,None,None
7/22/2025,None,No Data,None,None,None,None,D0,None,No Data,None,None
7/15/2025,None,No Data,None,None,None,None,D1,None,No Data,None,None
7/8/2025,None,No Data,None,None,None,None,D1,None,No Data,None,None
7/1/2025,None,No Data,None,None,None,None,D1,None,No Data,None,None
6/24/2025,None,No Data,None,None,None,None,D3,None,No Data,None,None
6/17/2025,No Data,No Data,None,None,D0,None,D3,None,No Data,None,None
6/10/2025,None,No Data,None,None,None,None,D3,None,No Data,None,D0
6/3/2025,None,No Data,None,None,None,None,D3,None,No Data,None,D1
5/27/2025,None,No Data,None,None,None,None,D2,None,No Data,None,D1
5/20/2025,None,No Data,None,None,None,None,D2,None,No Data,None,D1
5/13/2025,None,No Data,None,None,None,None,D2,None,No Data,None,D1
5/6/2025,None,No Data,D0,None,None,None,D2,None,No Data,None,D1
4/29/2025,None,No Data,D0,None,None,None,D2,None,No Data,None,D1
4/22/2025,None,No Data,D0,None,None,None,D1,None,No Data,None,D1
4/15/2025,None,No Data,D0,None,None,None,D1,None,No Data,None,D1
4/8/2025,None,No Data,D0,None,None,None,D1,None,No Data,None,D1
4/1/2025,None,No Data,D0,None,None,None,D0,None,No Data,None,D1
3/25/2025,None,No Data,D0,None,None,None,D0,None,None,None,D1
3/18/2025,None,No Data,D0,None,None,None,D0,None,No Data,None,D1
3/11/2025,None,No Data,D0,None,None,None,D1,None,No Data,None,D1
3/4/2025,None,No Data,None,None,None,None,D1,None,No Data,None,D1
2/25/2025,None,No Data,None,None,None,None,D1,None,No Data,D0,D1
2/18/2025,None,No Data,None,None,None,None,D0,None,No Data,D0,D1
2/11/2025,None,No Data,None,None,None,None,D0,None,No Data,D0,D1
2/4/2025,None,No Data,D0,None,None,None,D0,None,No Data,D0,D1
1/28/2025,D0,No Data,None,None,None,None,None,None,No Data,None,D1
1/21/2025,D0,No Data,None,None,None,None,None,None,No Data,None,D1
1/14/2025,None,No Data,None,None,None,None,None,None,No Data,None,D1
1/7/2025,None,No Data,None,None,None,None,None,None,No Data,None,D1
12/31/2024,None,No Data,None,None,None,None,D0,None,No Data,None,D1
12/24/2024,None,No Data,None,None,None,None,None,None,No Data,No Data,D1
12/17/2024,None,No Data,None,None,None,None,None,None,None,None,D0
12/10/2024,None,No Data,None,None,None,None,None,None,None,None,None
12/3/2024,None,No Data,None,None,None,None,None,None,None,None,None
11/26/2024,D0,No Data,D0,D0,None,None,None,None,None,None,None
11/19/2024,D0,No Data,D0,None,None,None,None,None,None,None,None
11/12/2024,D0,No Data,D0,None,D0,None,None,None,None,None,None
11/5/2024,None,No Data,D1,None,None,None,None,None,None,None,None
10/29/2024,None,No Data,D1,None,None,None,D0,None,None,None,None
10/22/2024,None,No Data,D0,None,None,None,D0,None,None,None,None
10/15/2024,None,No Data,D0,None,D0,D0,D0,None,None,No Data,None
10/8/2024,None,No Data,D0,D0,D0,D0,D0,None,None,D0,None
10/1/2024,None,No Data,None,None,None,None,None,None,None,None,None
9/24/2024,None,No Data,None,None,None,None,None,None,None,None,None
9/17/2024,None,No Data,None,None,None,None,None,D0,None,None,None
9/10/2024,None,No Data,D0,None,D0,None,No Data,D0,No Data,None,None
9/3/2024,None,No Data,D1,None,D0,D0,No Data,D0,D0,None,None
8/27/2024,None,No Data,D1,None,D0,None,None,D0,D0,None,D0
8/20/2024,None,No Data,D0,None,D0,None,None,D0,None,None,None
8/13/2024,None,No Data,None,None,None,None,No Data,None,None,None,None
8/6/2024,None,No Data,None,None,None,None,No Data,None,None,None,None
7/30/2024,None,No Data,None,None,None,None,No Data,None,None,None,None
7/23/2024,None,No Data,None,None,None,None,No Data,None,D0,None,D0
7/16/2024,None,No Data,None,None,None,None,No Data,None,D1,None,D1
7/9/2024,None,No Data,None,No Data,None,None,No Data,None,D1,No Data,D2
7/2/2024,None,No Data,None,No Data,None,None,No Data,None,D1,No Data,D2
6/25/2024,None,No Data,None,No Data,No Data,None,D0,None,D2,No Data,D2
6/18/2024,None,None,None,No Data,None,None,None,None,D3,D1,D3
6/11/2024,None,No Data,None,No Data,None,None,None,None,D3,D1,D3
6/4/2024,None,No Data,None,None,None,None,None,None,D3,D1,D3
5/28/2024,None,No Data,None,None,None,None,No Data,None,D3,D2,D3
5/21/2024,None,No Data,None,None,None,None,No Data,None,D4,D2,D4
5/14/2024,None,No Data,None,None,None,None,No Data,None,D4,D1,D4
5/7/2024,D0,No Data,None,None,None,None,None,None,D4,D1,D4
